serie;funcion;tiempo;serie;;;;serie;funcion;tiempo O;tiempoOpt;;;;;;;;;;;;;;
T916_20150208_2241_2271;mapMatch;00:06,9;T916_20150208_2241_2271 mapMatch;12;T916_20150208_2241_2271 mapMatch12;;T386_20150212_1389_1466;mapMatch;00:04,5;00:12,5;277%;;;;;;;;;;;;;
T386_20150207_2302_2341;mapMatch;00:05,4;T386_20150207_2302_2341 mapMatch;13;T386_20150207_2302_2341 mapMatch13;;T386_20150212_1389_1466;mapMatch;00:04,5;00:16,1;356%;;;;;;;;;;;;;
T386_20150207_2793_2819;mapMatch;00:00,6;T386_20150207_2793_2819 mapMatch;13;T386_20150207_2793_2819 mapMatch13;;T386_20150212_1389_1466;mapMatch;00:00,5;00:00,7;124%;;;;;;;;;;;;;
T386_20150212_1389_1466;mapMatch;00:04,8;T386_20150212_1389_1466 mapMatch;13;T386_20150212_1389_1466 mapMatch13;;T386_20150212_1389_1466;mapMatch;00:00,5;00:00,7;123%;;;;;;;;;;;;;
T386_20150212_1712_1767;mapMatch;00:23,9;T386_20150212_1712_1767 mapMatch;13;T386_20150212_1712_1767 mapMatch13;;T386_20150212_1389_1466;mapMatch;00:09,8;00:13,6;140%;;;;;;;;;;;;;
T386_20150212_2640_2693;mapMatch;00:14,4;T386_20150212_2640_2693 mapMatch;13;T386_20150212_2640_2693 mapMatch13;;T386_20150212_1389_1466;mapMatch;00:13,5;00:15,9;118%;;;;;;;;;;;;;
T916_20150207_2161_2181;mapMatch;00:00,6;T916_20150207_2161_2181 mapMatch;13;T916_20150207_2161_2181 mapMatch13;;T386_20150212_1389_1466;mapMatch;00:00,7;00:00,6;90%;;;;;;;;;;;;;
T916_20150208_2161_2196;mapMatch;00:04,8;T916_20150208_2161_2196 mapMatch;13;T916_20150208_2161_2196 mapMatch13;;T386_20150212_1389_1466;mapMatch;00:06,4;00:03,4;54%;;;;;;;;;;;;;
T916_20150208_2241_2271;mapMatch;00:05,6;T916_20150208_2241_2271 mapMatch;13;T916_20150208_2241_2271 mapMatch13;;T386_20150212_1389_1466;mapMatch;00:02,1;00:13,2;642%;;;;;;;;;;;;;
T386_20150207_2302_2341;mapMatch;00:07,0;T386_20150207_2302_2341 mapMatch;14;T386_20150207_2302_2341 mapMatch14;;T386_20150212_1389_1466;mapMatch;00:02,1;00:11,9;565%;;;;;;;;;;;;;
